K,Triton,cuBLAS,cuTLASS
1024.000000,0.559192,0.583769,2.747665
2048.000000,1.081452,1.138596,2.785973
3072.000000,1.615956,1.677163,3.163355
4096.000000,2.132208,2.159783,4.026680
5120.000000,2.719528,2.687669,4.273431
6144.000000,3.266048,3.163101,4.670025
7168.000000,3.722167,3.719659,5.240832
8192.000000,4.220765,4.221301,5.845538
