K,cuBLAS,Triton
1024.000000,6.449773,9.724880
2048.000000,12.329227,14.702606
3072.000000,23.433289,27.096182
4096.000000,32.904175,29.303169
5120.000000,37.352528,42.898415
6144.000000,41.279747,47.301105
7168.000000,50.356255,56.516640
8192.000000,53.977951,61.843361
