K,cuBLAS,Triton
1024.000000,6.930717,7.295331
2048.000000,12.166548,14.374899
3072.000000,26.811823,22.874357
4096.000000,31.719978,29.288330
5120.000000,33.835503,40.416046
6144.000000,42.023567,44.951218
7168.000000,49.223648,54.904770
8192.000000,52.569920,68.701920
