K,cuBLAS,Triton
1024.000000,3.922835,9.272496
2048.000000,11.942128,14.231763
3072.000000,22.261543,26.401169
4096.000000,31.415125,28.884939
5120.000000,35.812355,43.344288
6144.000000,39.633934,45.378174
7168.000000,48.211967,52.359711
8192.000000,56.274719,59.204769
