K,cuBLAS,Triton
1024.000000,6.501674,10.859392
2048.000000,12.282026,15.509824
3072.000000,23.159584,27.542528
4096.000000,33.053810,31.282005
5120.000000,36.023537,45.078785
6144.000000,41.757133,52.332928
7168.000000,53.563488,61.353951
8192.000000,56.964447,65.837379
