K,cuBLAS,Triton
1024.000000,6.822262,7.611436
2048.000000,12.664480,15.177881
3072.000000,23.599247,22.747904
4096.000000,31.925484,34.681442
5120.000000,35.037453,39.219681
6144.000000,47.502029,47.082191
7168.000000,56.602753,57.575073
8192.000000,60.539711,64.180161
