K,Triton,cuBLAS,cuTLASS
256.000000,3.267196,1.863361,2.163715
512.000000,3.564720,3.283887,3.635091
768.000000,5.464369,4.702398,5.757373
1024.000000,7.310304,5.515149,7.645413
1280.000000,9.149968,7.548487,10.462475
1536.000000,10.748178,8.581766,12.400608
1792.000000,12.534011,11.019420,13.438175
2048.000000,14.117056,11.535872,14.839835
2304.000000,16.104389,15.040388,18.507627
2560.000000,17.967848,18.375385,20.565680
2816.000000,19.952961,19.110033,22.157425
3072.000000,22.114056,21.629410,24.270559
3328.000000,24.374304,23.645247,28.742826
3584.000000,25.563850,25.850090,29.452982
3840.000000,28.178431,26.902132,32.767826
4096.000000,29.753611,28.613962,34.858368
4352.000000,30.627764,30.809982,44.943104
4608.000000,33.255489,32.095200,45.401138
4864.000000,36.142319,32.002110,44.590385
5120.000000,37.274033,31.238047,46.426304
5376.000000,38.993023,35.932976,45.724510
5632.000000,41.034721,39.585968,48.267681
5888.000000,42.989517,42.117313,50.187424
6144.000000,44.001839,42.999809,52.025345
6400.000000,48.449760,43.363327,58.575809
6656.000000,49.053921,46.870529,57.716736
6912.000000,51.963905,46.764030,58.695679
7168.000000,55.218208,51.419712,61.909119
7424.000000,57.824097,52.723263,65.452034
7680.000000,61.630241,48.840706,72.880127
7936.000000,63.740162,59.940895,68.348030
8192.000000,60.935455,56.423714,66.572189
