K,Triton,cuBLAS,cuTLASS
256.000000,3.271258,2.409877,2.194396
512.000000,3.511109,3.168476,3.651317
768.000000,5.519099,4.330426,6.071541
1024.000000,7.297315,5.605205,7.218265
1280.000000,9.097064,7.087175,10.539875
1536.000000,10.882523,8.680167,11.781552
1792.000000,12.599019,10.871767,13.670197
2048.000000,14.140639,11.570912,14.615344
2304.000000,16.458950,14.391548,17.978695
2560.000000,17.977200,17.835333,20.692663
2816.000000,20.222641,19.027367,21.172039
3072.000000,21.973032,20.940857,24.311945
3328.000000,24.407904,21.978409,26.691668
3584.000000,25.899551,25.903456,29.622038
3840.000000,28.257750,27.491852,32.667980
4096.000000,29.484695,28.646708,32.582508
4352.000000,31.550751,31.087732,41.796318
4608.000000,33.657871,32.313057,45.686287
4864.000000,35.610222,31.263742,45.004608
5120.000000,37.826782,30.670870,43.206657
5376.000000,38.937935,35.268639,46.325729
5632.000000,40.043362,38.166626,48.252991
5888.000000,42.833920,41.968483,50.483231
6144.000000,44.460365,43.446415,51.119392
6400.000000,48.338158,42.379185,55.832542
6656.000000,51.180607,46.727280,58.288063
6912.000000,53.989376,46.372959,58.247295
7168.000000,56.225792,54.024158,61.233185
7424.000000,60.719551,56.779263,65.168030
7680.000000,62.469826,50.282753,70.686531
7936.000000,64.798019,60.411903,68.245667
8192.000000,64.705986,57.986305,67.584030
