K,Triton,cuBLAS,cuTLASS
256.000000,2.594621,1.856292,2.693865
512.000000,3.766207,3.561872,3.705322
768.000000,5.482305,5.057222,6.457225
1024.000000,7.232599,5.936009,8.069982
1280.000000,9.126436,8.214698,10.712248
1536.000000,10.775781,9.243380,12.905769
1792.000000,12.554634,11.647146,14.439227
2048.000000,14.258067,12.124300,15.247488
2304.000000,16.032780,15.336186,18.255791
2560.000000,17.679728,19.122623,21.589079
2816.000000,19.715120,19.283520,22.909622
3072.000000,21.415871,21.742943,25.056181
3328.000000,23.079081,23.430410,28.309237
3584.000000,24.933792,24.680298,29.100458
3840.000000,26.841291,26.778593,30.862772
4096.000000,29.516960,28.665909,33.674164
4352.000000,30.005791,30.218348,51.421745
4608.000000,31.398262,31.282099,41.723022
4864.000000,33.369473,30.905762,43.596252
5120.000000,35.185310,30.507063,45.928448
5376.000000,37.304733,33.741856,48.969856
5632.000000,38.315456,37.397507,48.423424
5888.000000,40.235069,40.266479,47.323296
6144.000000,41.861263,40.681423,48.989441
6400.000000,43.201599,43.519455,57.454655
6656.000000,45.442062,45.668880,52.412575
6912.000000,47.030434,47.432030,56.530880
7168.000000,48.664513,44.913185,57.593761
7424.000000,50.075615,52.584255,58.421280
7680.000000,51.957760,46.477009,63.717152
7936.000000,53.400223,50.104416,61.909023
8192.000000,60.045311,48.916225,63.555874
