K,Triton,cuBLAS,cuTLASS
1024.000000,0.707422,0.631559,3.481395
2048.000000,1.129704,1.145560,2.737119
3072.000000,1.661867,1.678046,3.961502
4096.000000,2.203866,2.140460,3.792050
5120.000000,2.730011,2.679145,4.198791
6144.000000,3.300608,3.191077,19.540993
7168.000000,3.835904,3.708970,5.539264
8192.000000,4.394667,4.225658,5.986619
