K,Triton,cuBLAS,cuTLASS
1024.000000,0.704620,0.699811,2.364504
2048.000000,1.118696,1.146320,2.950424
3072.000000,1.667174,1.677100,3.282590
4096.000000,2.213975,2.157368,3.896134
5120.000000,2.751057,2.684747,4.193329
6144.000000,3.293120,3.174181,4.756103
7168.000000,3.878071,3.700224,5.271808
8192.000000,4.416981,4.236532,5.845888
