K,Triton,cuBLAS,cuTLASS
256.000000,3.291935,1.717109,2.053332
512.000000,3.429565,3.122402,3.662050
768.000000,5.244254,4.415500,5.784149
1024.000000,6.927175,5.492035,7.065492
1280.000000,8.823992,6.848514,6.570464
1536.000000,10.553328,8.195138,11.016547
1792.000000,12.321408,12.165731,13.526683
2048.000000,14.034416,10.977076,14.416976
2304.000000,15.669492,14.183396,17.931099
2560.000000,17.385134,17.357227,19.614298
2816.000000,19.051439,19.370712,19.191994
3072.000000,20.810823,20.316904,24.900991
3328.000000,22.398302,21.733150,25.386057
3584.000000,24.956884,23.529642,27.793365
3840.000000,26.130091,27.135691,29.522444
4096.000000,27.634987,28.449453,30.670050
4352.000000,29.316107,29.773867,38.815331
4608.000000,31.044382,30.953291,44.768303
4864.000000,32.778862,30.136789,48.005180
5120.000000,34.845886,29.809717,42.827423
5376.000000,36.197632,34.462654,48.791023
5632.000000,38.203823,35.438766,48.233986
5888.000000,40.097473,39.153618,48.893986
6144.000000,41.863358,41.344784,51.384415
6400.000000,43.843346,42.956272,57.133057
6656.000000,45.424641,44.400627,56.668896
6912.000000,47.267441,48.663105,57.223679
7168.000000,50.737377,52.271198,58.179329
7424.000000,50.815136,54.380928,61.337666
7680.000000,54.461823,47.147041,71.189629
7936.000000,59.354111,54.247646,66.973724
8192.000000,61.169281,53.118786,69.875748
