K,Triton,cuBLAS,cuTLASS
1024.000000,11.079856,5.308278,6.401451
2048.000000,21.767448,11.324640,17.075060
3072.000000,35.699936,21.906446,22.448017
4096.000000,48.049568,26.359915,29.508041
5120.000000,59.148865,30.960192,39.726112
6144.000000,73.736191,36.688240,47.040482
7168.000000,82.999298,47.757294,55.769054
8192.000000,94.972099,49.858753,61.736992
